Delta_align,Delta_d,S_sub_F_CF,S_sub_P_CF,checkpoint,d_R_F_CF,d_R_P_CF,r_CF,r_F,r_P,stratum,unit_id
0.0279085987767983,1.298073342705349,0.9716678188444907,0.999576417621289,291402,1.3452588103364826,0.04718546763113354,2,2,2,S2,W29U_5CE02771C093B1300C2D102D
0.0652122595442085,0.6849436869207268,0.9237251235865807,0.9889373831307892,291402,1.1693281895222218,0.48438450260149507,4,2,4,S2,W29U_08B2456A07EE4238C5B02531
0.04491106565337355,0.0027725854038744835,0.944246510631419,0.9891575762847925,291402,0.9694990596257979,0.9667264742219234,3,3,3,S2,W29U_DEE413EAB57AC5251CC94C3E
0.28050115988181334,0.7350437516948563,0.6126757921090892,0.8931769519909025,291402,1.0410291383102737,0.3059853866154174,3,3,3,S2,W29U_D81E592C61FB76827E183645
0.05252373498892704,1.6516139796226765,0.944792579850594,0.997316314839521,291402,1.7151605034663624,0.06354652384368586,4,1,4,S2,W29U_1132CA32846D8F057C579B58
0.06680121426405816,0.9960718227398141,0.9110873745901032,0.9778885888541614,291402,1.4727583203184567,0.47668649757864257,4,2,4,S2,W29U_FE6861630248BEA0B78E17F9
0.338738933753302,0.709455463835246,0.6432571128516476,0.9819960466049495,291402,0.9032413637898091,0.19378589995456305,4,4,4,S2,W29U_4B296E6D957772C67FE3C252
0.26980731108828226,0.33340156571222623,0.645305134624146,0.9151124457124282,291402,1.554226910702519,1.2208253449902928,2,3,4,S2,W29U_A7B8E37FC1BCCA0FFB6D7F9E
0.1593308086472507,0.5524290676159728,0.8251297823406376,0.9844605909878883,291402,1.3986063358573455,0.8461772682413727,1,2,3,S2,W29U_E40515EC2262E92D9B884A15
0.2051673696831915,0.0312807070327743,0.7314453335303702,0.9366127032135617,291402,1.1832052815101048,1.1519245744773305,3,3,3,S2,W29U_41FD60E27CD7FE165904AA23
0.010042154048777285,0.2420975557652647,0.9787890399587678,0.988831194007545,291402,0.8143399949809775,0.5722424392157128,3,3,4,S2,W29U_F38CAC611236E1EDC4F0B734
0.08212117270781283,-0.012280117326502582,0.8672010796517919,0.9493222523596048,291402,1.1012155190459807,1.1134956363724833,3,4,3,S2,W29U_253B572365B24FEC3BC50C3A
0.03329765524539152,1.2625532791727676,0.9658422957338137,0.9991399509792053,291402,1.2972054484626425,0.034652169289875,2,2,2,S2,W29U_9EC6A4D2F3C37960EF79F609
