checkpoint,stratum,unit_id,native_CF_r90,S_F_CF,S_P_CF,S_P_F,Delta_Align,Delta_PF_Align,dR_F_CF,dR_P_CF,dR_P_F,Delta_d,source_record_index
291403,S2,W29U_A2599D3295EC0563B06B9904,4,0.9776957384103298,0.9974680230792627,0.9717927497530131,0.019772284668932993,0.028207250246986892,1.1039949292373799,0.43227753747658515,1.1834879266303568,0.6717173917607947,216
291403,S2,W29U_61CA805816309171BA652E24,2,0.9689350401323376,0.9917807150186859,0.9624440241759675,0.022845674886348366,0.03755597582403247,1.3715029466923794,1.0270848456517914,0.6078924038742949,0.344418101040588,217
291403,S2,W29U_4A949BC43B7EBA039FBCF755,4,0.9799411375238196,0.9966325511301201,0.9731907774196442,0.016691413606300443,0.026809222580355785,0.8212736120452606,0.44611373043358216,0.9816934263527192,0.37515988161167846,218
291403,S2,W29U_BAEA92E0AF8EFDA4A5D1A272,3,0.9695122539662625,0.9974970310308326,0.9603391706081738,0.027984777064570143,0.03966082939182625,1.3327947639107123,0.6245486916967055,1.3195587533569433,0.7082460722140068,219
291403,S2,W29U_7B66010E91B04E7D027A4DB1,3,0.495497578231111,0.608012275190715,0.7242251729553874,0.11251469695960398,0.27577482704461265,0.9613784670967417,1.1503322936737874,0.9160146899577563,-0.18895382657704574,220
291403,S2,W29U_C1EEFD3EC60839B7FC16C567,4,0.939794599702191,0.9813545654993776,0.9167695426755033,0.04155996579718657,0.08323045732449674,1.1345650946269021,0.1363763968874032,1.1610027863906482,0.9981886977394989,221
291403,S2,W29U_845964ADB660A765D929E61B,5,0.6677792955074238,0.9293011025461227,0.6494522315883595,0.261521807038699,0.3505477684116405,1.7550331119901639,0.23684283401423148,1.762323155006927,1.5181902779759324,222
291403,S2,W29U_35C707ACB41E5A2BB2C7F4F4,4,0.9058072939277048,0.990157299311266,0.9075129049319135,0.08435000538356119,0.0924870950680865,0.9008270858108928,0.12236590809100806,0.919778868702453,0.7784611777198847,223
291403,S2,W29U_949CC7C8E67B372BAFDBC304,4,0.8902839202795838,0.995513594084162,0.8795229002632767,0.10522967380457815,0.12047709973672327,1.8015258120838302,0.0862759993791221,1.7788450729330905,1.7152498127047082,224
291403,S2,W29U_66B630D7911A20329B5E4CE5,4,0.9815253191537087,0.997697299267337,0.9766036173042026,0.016171980113628304,0.023396382695797358,0.7492709270731261,0.3282143487689766,0.8982783993838881,0.42105657830414955,225
291403,S2,W29U_4AB8314629FC2762CF312EFA,4,0.9508990397125388,0.9983072799331032,0.9464340910586746,0.047408240220564446,0.0535659089413254,1.7023853711435624,0.06101152295706052,1.688772288845723,1.641373848186502,226
291403,S2,W29U_350A2A50D509582EE77C5BC2,4,0.765890462690733,0.9166611986682147,0.9215929233322748,0.1507707359774817,0.07840707666772517,0.9587135875898142,0.8512754405291975,1.008412822698549,0.10743814706061672,227
291403,S2,W29U_900AA2BEA87870498EC902FB,3,0.5652581480794576,0.7137668905900748,0.893881725682756,0.1485087425106172,0.10611827431724397,0.7871392808273844,1.2679059244281061,1.2171152800576313,-0.48076664360072174,228
291403,S2,W29U_A28F88AE9DF49C367E44FAD1,4,0.811179502976608,0.9301492228027696,0.935334825224879,0.11896971982616156,0.06466517477512101,0.8648482418178849,0.8658199355819283,1.1353484281886257,-0.0009716937640433798,229
291403,S2,W29U_5D9D815DFF68050432EF99CA,4,0.9553779108728492,0.9982436382506099,0.9501914763708541,0.04286572737776073,0.049808523629145895,0.47326306621434716,0.05748481929211878,0.4809057793777578,0.41577824692222837,230
291403,S2,W29U_5CE02771C093B1300C2D102D,1,0.9715673801787088,0.9933999824806544,0.9687559035734108,0.021832602301945614,0.031244096426589207,1.3621277205988476,0.8711310773226889,1.4102247338922527,0.49099664327615866,231
291403,S2,W29U_08B2456A07EE4238C5B02531,4,0.9246358461017582,0.9882826120495304,0.9099408384090091,0.06364676594777219,0.09005916159099092,1.2513035294627821,0.4412088924267424,1.243434429737872,0.8100946370360398,232
291403,S2,W29U_DEE413EAB57AC5251CC94C3E,3,0.8910202863891712,0.9218146504912443,0.9724165505092209,0.030794364102073146,0.027583449490779066,1.0715228763714435,1.1285097771746484,0.2232835773597021,-0.0569869008032049,233
291403,S2,W29U_D81E592C61FB76827E183645,4,0.554616871860665,0.9248868260250742,0.62634635389983,0.3702699541644092,0.37365364610017004,1.1783454143862424,0.3065231275722097,1.135581304407317,0.8718222868140327,234
291403,S2,W29U_1132CA32846D8F057C579B58,4,0.9448283115869195,0.9992488067669951,0.9420538467445231,0.054420495180075634,0.05794615325547692,1.7627828721696586,0.037536407139499336,1.746650706445624,1.7252464650301593,235
291403,S2,W29U_FE6861630248BEA0B78E17F9,4,0.9233798936397047,0.9885611180824018,0.9033850026440683,0.06518122444269703,0.09661499735593171,1.574634385836401,0.2156305035988791,1.5555665321429264,1.3590038822375219,236
291403,S2,W29U_4B296E6D957772C67FE3C252,4,0.7115231507334664,0.9920557169680675,0.6753534219280445,0.2805325662346011,0.3246465780719555,1.3004621924251638,0.10287989771934113,1.2962724352832924,1.1975822947058228,237
