P_d,P_s,S_sub_gamma_CF,checkpoint,d_R_gamma_CF,gamma,stratum,unit_id
-0.18951236302255534,-0.07606985428223356,0.7462469160769781,291402,0.5503336893210428,1.0,S1,W29U_A3B6D3BDB73A7B2D4AE044E2
0.0,0.0,0.5508599582152385,291402,0.845363200767159,0.0,S1,W29U_AC8C1DB17FDD8141A366E8D2
0.1724018486078162,0.07698314590390243,0.6278431041191409,291402,0.6996210222097079,0.25,S1,W29U_AC8C1DB17FDD8141A366E8D2
0.3682231939502131,0.08970202054939247,0.640561978764631,291402,0.5340808629323323,0.5,S1,W29U_AC8C1DB17FDD8141A366E8D2
0.28211963111340926,0.22293675183220385,0.7737967100474423,291402,0.6068696464095951,0.75,S1,W29U_AC8C1DB17FDD8141A366E8D2
0.08766309809628388,0.27993463038431843,0.8307945885995569,291402,0.7712560435712313,1.0,S1,W29U_AC8C1DB17FDD8141A366E8D2
0.0,0.0,0.9455641635040183,291402,0.35428955995023903,0.0,S1,W29U_B1AA4B604A313D5010E1A61F
0.37178514154120734,0.029856735755812824,0.9754208992598311,291402,0.22256996575719556,0.25,S1,W29U_B1AA4B604A313D5010E1A61F
0.7324385240969562,0.04726729460950552,0.9928314581135238,291402,0.09479423755659343,0.5,S1,W29U_B1AA4B604A313D5010E1A61F
0.8266735867004269,0.04982260662534377,0.995386770129362,291402,0.06140773869483237,0.75,S1,W29U_B1AA4B604A313D5010E1A61F
0.46028032587714246,0.012921309465124264,0.9584854729691425,291402,0.19121704584101334,1.0,S1,W29U_B1AA4B604A313D5010E1A61F
0.0,0.0,0.8383629358693545,291402,0.5036404409264246,0.0,S1,W29U_4BC3ADADD4685C9154124B37
-0.01617175190663344,0.03466452214627058,0.8730274580156251,291402,0.5117851891872504,0.25,S1,W29U_4BC3ADADD4685C9154124B37
0.07383599999656985,0.08580159387324904,0.9241645297426035,291402,0.4664536453318348,0.5,S1,W29U_4BC3ADADD4685C9154124B37
0.37656273909736643,0.1035273832941408,0.9418903191634953,291402,0.3139882169705882,0.75,S1,W29U_4BC3ADADD4685C9154124B37
-0.11982846452363112,-0.12396452499300725,0.7143984108763473,291402,0.5639909016347624,1.0,S1,W29U_4BC3ADADD4685C9154124B37
0.0,0.0,0.628721221701889,291402,0.8374189193043666,0.0,S1,W29U_62F02A00E48B9E836FA9D0FE
0.07824824591482199,0.009393318764976621,0.6381145404668657,291402,0.7718923577728358,0.25,S1,W29U_62F02A00E48B9E836FA9D0FE
0.20681157650880608,0.04001381470104892,0.668735036402938,291402,0.6642309924045231,0.5,S1,W29U_62F02A00E48B9E836FA9D0FE
0.4094484136765138,0.2996695869034113,0.9283908086053003,291402,0.49453907121208374,0.75,S1,W29U_62F02A00E48B9E836FA9D0FE
0.6409518697912261,0.3236833781099393,0.9524045998118283,291402,0.3006736971770441,1.0,S1,W29U_62F02A00E48B9E836FA9D0FE
0.0,0.0,0.7543641089237928,291402,0.5565737139500672,0.0,S1,W29U_E53925AE8D426CFBA11CA56F
0.2917561018847647,0.09891421589491078,0.8532783248187036,291402,0.39418993675617775,0.25,S1,W29U_E53925AE8D426CFBA11CA56F
0.506152680806814,0.1620307097606376,0.9163948186844304,291402,0.27486243656712966,0.5,S1,W29U_E53925AE8D426CFBA11CA56F
0.5908845226245039,0.19140585828422385,0.9457699672080166,291402,0.22770292067674372,0.75,S1,W29U_E53925AE8D426CFBA11CA56F
0.5348041769189504,0.1719499812383133,0.9263140901621061,291402,0.25891576696574337,1.0,S1,W29U_E53925AE8D426CFBA11CA56F
0.0,0.0,0.7120120653513836,291402,0.7632643338977322,0.0,S1,W29U_5E9585B5B6DBFD2154636B70
0.03684856483553009,0.010099321325958033,0.7221113866773416,291402,0.7351391386034171,0.25,S1,W29U_5E9585B5B6DBFD2154636B70
0.07952413215479646,0.02824460528973549,0.7402566706411191,291402,0.7025664001397267,0.5,S1,W29U_5E9585B5B6DBFD2154636B70
0.19774629564066928,0.061133189825416046,0.7731452551767997,291402,0.612331639274615,0.75,S1,W29U_5E9585B5B6DBFD2154636B70
