C_R_midpoint,E_int16,E_int32,E_int8,E_local,I16_I8_relative,I32_I16_relative,checkpoint,stratum,unit_id
0.2149362507152852,2.36235039048366e-06,1.0072018761883093e-06,3.0480047379744865e-05,0.7663117925445152,2.9248474007457337e-05,1.977033622747062e-06,291402,S1,W29U_927D329B3C584BE046A0AFEA
0.20773397254621478,2.0233787413552264e-06,8.580849959738455e-07,2.4133311622147758e-05,0.7859250415150949,2.233118432188453e-05,1.6952605138426852e-06,291402,S1,W29U_B497E36FB07F5FA1D12D6681
0.2646616989794228,9.300761208047193e-06,7.636018274457851e-07,0.00015495884378841323,1.416436342149079,0.00014612915721010276,8.836275655704414e-06,291402,S1,W29U_C262155F67E1F514B8FA68C7
0.27511988713852625,1.983397831585367e-05,2.462391456152211e-06,0.0003461284994688497,1.0633027896568141,0.0003263806903595038,1.81891403556363e-05,291402,S1,W29U_C9C26419E0818E40CBA4D6F3
0.3057964152265378,1.4429370561698268e-05,1.3443772738253165e-06,0.00024860129695345763,0.6351306701050681,0.0002343965126490821,1.3709985661902561e-05,291402,S1,W29U_C37CB46A6C677AD0D2838FA4
0.5693621141816669,1.66850569397912e-05,1.8644254119418086e-06,0.0002784390726817646,0.37543709288868937,0.0002618247427606706,1.5538890240084432e-05,291402,S1,W29U_03C728A071DA819C6F3B21E4
0.2905659456515404,1.092726439765271e-05,9.053156840496423e-07,0.0001358400507764838,1.636082717498859,0.0001254491646414676,1.0191118631508486e-05,291402,S1,W29U_C93146E96852E40F0233C116
0.20146998838757613,2.096668655745095e-06,2.1646942695511928e-06,3.370971892370213e-05,0.3339563457178049,3.269620104271536e-05,2.032225039836414e-06,291402,S1,W29U_3F4110C5508739D0A0562757
0.25098948396978804,3.2808626177291633e-06,3.029078453777087e-06,1.5669625396639168e-05,0.29448360051829,1.3854196184603542e-05,8.387899636542556e-07,291402,S1,W29U_5225D08BCA1DB372E74B864E
0.5591420382835477,1.6223232473190438e-05,2.3483881014272982e-06,0.0002718405929502161,0.3857397031302644,0.00025575262603865406,1.5004782503560086e-05,291402,S1,W29U_3B1DE5598F0CCCE7F61AFBE1
0.405354380808042,2.2846914935627715e-06,1.174346048951753e-06,2.903703696496884e-05,0.3823218904409106,2.7035391281341462e-05,1.7072321413904629e-06,291402,S1,W29U_E8621BBB9863314435A966E1
0.3437647057854273,1.3690649267100005e-05,2.3557484764200617e-06,0.00021366632737698056,0.366751789888174,0.00020008380876775878,1.2123164249732526e-05,291402,S1,W29U_0BDB0E4B75075FE966B69FDA
0.618320143201929,1.0888793798358948e-05,1.7838152584067861e-06,0.0002163446789673013,0.457520418818084,0.00020568639403364825,1.0480861183260088e-05,291402,S1,W29U_099BE3736653346E3715B34A
